 #(CO-core: New calculations, following Camisassa et al. 2017, ONe-core: Camisassa et al. 2019) 
 #Log(g) log(teff) mWD    tcool(gyr)  R(Rsun)   core   log(L)    Mzams       G       Bp      Rp
  8.00   4.460   0.611     0.01077    0.012946   CO    -0.981    2.841   10.3507   10.1758   10.5325
  8.00   4.440   0.609     0.01283    0.012921   CO    -1.063    2.811   10.4126   10.2433   10.5839
  8.00   4.420   0.607     0.01548    0.012895   CO    -1.145    2.782   10.4647   10.3000   10.6275
  8.00   4.400   0.604     0.01894    0.012871   CO    -1.226    2.754   10.5049   10.3436   10.6615
  8.00   4.380   0.602     0.02353    0.012846   CO    -1.308    2.726   10.5356   10.3768   10.6876
  8.00   4.360   0.600     0.02949    0.012820   CO    -1.390    2.695   10.5628   10.4060   10.7109
  8.00   4.340   0.597     0.03714    0.012794   CO    -1.471    2.665   10.5997   10.4456   10.7425
  8.00   4.320   0.595     0.04690    0.012769   CO    -1.553    2.637   10.6582   10.5083   10.7931
  8.00   4.300   0.593     0.05913    0.012746   CO    -1.634    2.609   10.7309   10.5856   10.8569
  8.00   4.280   0.591     0.07413    0.012723   CO    -1.716    2.583   10.8126   10.6719   10.9298
  8.00   4.260   0.589     0.09214    0.012701   CO    -1.797    2.558   10.9024   10.7660   11.0108
  8.00   4.240   0.587     0.11331    0.012681   CO    -1.878    2.535   10.9984   10.8664   11.0979
  8.00   4.220   0.585     0.13775    0.012662   CO    -1.960    2.513   11.0992   10.9722   11.1887
  8.00   4.200   0.584     0.16534    0.012645   CO    -2.041    2.489   11.1986   11.0770   11.2773
  8.00   4.180   0.582     0.19609    0.012630   CO    -2.122    2.461   11.3048   11.1902   11.3702
  8.00   4.160   0.581     0.23003    0.012616   CO    -2.203    2.435   11.4073   11.3006   11.4584
  8.00   4.140   0.580     0.26745    0.012603   CO    -2.284    2.411   11.5095   11.4118   11.5453
  8.00   4.120   0.579     0.30869    0.012590   CO    -2.365    2.388   11.6122   11.5247   11.6312
  8.00   4.100   0.578     0.35429    0.012578   CO    -2.446    2.366   11.7165   11.6402   11.7174
  8.00   4.080   0.576     0.40493    0.012567   CO    -2.526    2.344   11.8227   11.7590   11.8039
  8.00   4.060   0.575     0.46161    0.012555   CO    -2.607    2.323   11.9329   11.8828   11.8935
  8.00   4.040   0.574     0.52588    0.012544   CO    -2.688    2.302   12.0487   12.0129   11.9877
  8.00   4.020   0.573     0.60094    0.012532   CO    -2.769    2.281   12.1695   12.1497   12.0848
  8.00   4.000   0.572     0.69249    0.012520   CO    -2.850    2.258   12.2836   12.2819   12.1727
  8.00   3.980   0.571     0.80843    0.012507   CO    -2.931    2.235   12.4131   12.4299   12.2760
  8.00   3.960   0.570     0.95075    0.012494   CO    -3.011    2.212   12.5483   12.5853   12.3829
  8.00   3.940   0.569     1.11283    0.012483   CO    -3.092    2.191   12.6885   12.7471   12.4933
  8.00   3.920   0.568     1.28937    0.012473   CO    -3.173    2.174   12.8331   12.9144   12.6078
  8.00   3.900   0.567     1.47301    0.012466   CO    -3.253    2.160   12.9850   13.0909   12.7275
  8.00   3.880   0.567     1.66484    0.012459   CO    -3.334    2.149   13.1431   13.2752   12.8528
