#    1         2         3         4         5         6       7      8            9             10       11           18        19              23                     24         25           26    
# LOG(L)   LOG(TEFF)    T_c      Ro_c       Hc        Hec   %Con_s %Con_c    Log(edad/Myr)      Masa    M^dot        Log(Lnu)  Log MHtot       Log(grav)   R/R_sun   L.H.[erg/s)] Sep.Fase[erg/s]   
 3.104981  5.584050  2.383376  7.964520  0.000000  0.000000  0.000  0.000    2.292122267189795  1.15919 -33.00000   4.2895638 -22.9458313    8.6884110   0.0080673   0.000000      -0.000000    
 3.095635  5.581871  2.383251  7.964516  0.000000  0.000000  0.000  0.000    2.292122269926045  1.15919 -33.00000   4.2891083 -22.9888878    8.6890413   0.0080614   0.000000      -0.000000    
 3.085679  5.579558  2.383138  7.964583  0.000000  0.000000  0.000  0.000    2.292122273209545  1.15919 -33.00000   4.2887275 -22.9216661    8.6897482   0.0080549   0.000000      -0.000000    
 3.075563  5.577205  2.382974  7.964590  0.000000  0.000000  0.000  0.000    2.292122276949173  1.15919 -33.00000   4.2881333 -22.8795423    8.6904510   0.0080483   0.000000      -0.000000    
 3.064875  5.574728  2.382813  7.964670  0.000000  0.000000  0.000  0.000    2.292122281436727  1.15919 -33.00000   4.2875863 -22.7529479    8.6912314   0.0080411   0.000000      -0.000000    
 3.054088  5.572225  2.382596  7.964691  0.000000  0.000000  0.000  0.000    2.292122286550503  1.15919 -33.00000   4.2868028 -22.6826379    8.6920058   0.0080340   0.000000      -0.000000    
 3.042761  5.569607  2.382372  7.964787  0.000000  0.000000  0.000  0.000    2.292122292687035  1.15919 -33.00000   4.2860294 -22.6163014    8.6928595   0.0080261   0.000000      -0.000000    
 3.031390  5.566976  2.382082  7.964828  0.000000  0.000000  0.000  0.000    2.292122299685187  1.15919 -33.00000   4.2849881 -22.7669200    8.6937070   0.0080182   0.000000      -0.000000    
 3.019488  5.564233  2.381772  7.964947  0.000000  0.000000  0.000  0.000    2.292122308082970  1.15919 -33.00000   4.2839062 -22.7193411    8.6946374   0.0080096   0.000000      -0.000000    
 3.007537  5.561477  2.381384  7.965014  0.000000  0.000000  0.000  0.000    2.292122317669673  1.15919 -33.00000   4.2825132 -22.6420771    8.6955635   0.0080011   0.000000      -0.000000    
 2.995041  5.558607  2.380958  7.965164  0.000000  0.000000  0.000  0.000    2.292122329173716  1.15919 -33.00000   4.2810118 -22.6995194    8.6965789   0.0079918   0.000000      -0.000000    
 2.982460  5.555715  2.380438  7.965266  0.000000  0.000000  0.000  0.000    2.292122342324762  1.15919 -33.00000   4.2791402 -22.5691626    8.6975942   0.0079824   0.000000      -0.000000    
 2.969284  5.552700  2.379855  7.965459  0.000000  0.000000  0.000  0.000    2.292122358106016  1.15919 -33.00000   4.2770684 -22.6792399    8.6987068   0.0079722   0.000000      -0.000000    
 2.955992  5.549656  2.379158  7.965609  0.000000  0.000000  0.000  0.000    2.292122376180634  1.15919 -33.00000   4.2745455 -22.6094050    8.6998246   0.0079620   0.000000      -0.000000    
 2.942056  5.546477  2.378366  7.965859  0.000000  0.000000  0.000  0.000    2.292122397870175  1.15919 -33.00000   4.2716998 -22.5078464    8.7010467   0.0079508   0.000000      -0.000000    
 2.928000  5.543271  2.377432  7.966074  0.000000  0.000000  0.000  0.000    2.292122422775069  1.15919 -33.00000   4.2682927 -22.4893225    8.7022782   0.0079395   0.000000      -0.000000    
 2.913340  5.539941  2.376364  7.966400  0.000000  0.000000  0.000  0.000    2.292122452660940  1.15919 -33.00000   4.2643994 -22.4085460    8.7036176   0.0079273   0.000000      -0.000000    
 2.898634  5.536602  2.375117  7.966703  0.000000  0.000000  0.000  0.000    2.292122487095473  1.15919 -33.00000   4.2597931 -22.4182149    8.7049668   0.0079150   0.000000      -0.000000    
 2.883488  5.533179  2.373686  7.967132  0.000000  0.000000  0.000  0.000    2.292122528416909  1.15919 -33.00000   4.2544875 -22.4058309    8.7064223   0.0079017   0.000000      -0.000000    
 2.868476  5.529792  2.372030  7.967552  0.000000  0.000000  0.000  0.000    2.292122576249531  1.15919 -33.00000   4.2482611 -22.3669774    8.7078852   0.0078884   0.000000      -0.000000    
 2.853321  5.526394  2.370130  7.968118  0.000000  0.000000  0.000  0.000    2.292122633648670  1.15919 -33.00000   4.2410527 -22.3308123    8.7094494   0.0078742   0.000000      -0.000000    
 2.838546  5.523094  2.367945  7.968695  0.000000  0.000000  0.000  0.000    2.292122700504873  1.15919 -33.00000   4.2326311 -22.2486851    8.7110224   0.0078600   0.000000      -0.000000    
 2.823983  5.519871  2.365447  7.969442  0.000000  0.000000  0.000  0.000    2.292122780732302  1.15919 -33.00000   4.2228792 -22.1838608    8.7126950   0.0078448   0.000000      -0.000000    
 2.810005  5.516800  2.362592  7.970226  0.000000  0.000000  0.000  0.000    2.292122874952217  1.15919 -33.00000   4.2115074 -22.1290346    8.7143897   0.0078296   0.000000      -0.000000    
 2.796497  5.513875  2.359353  7.971208  0.000000  0.000000  0.000  0.000    2.292122988016088  1.15919 -33.00000   4.1983650 -22.1491041    8.7161963   0.0078133   0.000000      -0.000000    
 2.783588  5.511115  2.355665  7.972265  0.000000  0.000000  0.000  0.000    2.292123122251460  1.15919 -33.00000   4.1830456 -22.0848102    8.7180645   0.0077965   0.000000      -0.000000    
 2.771177  5.508516  2.351527  7.973552  0.000000  0.000000  0.000  0.000    2.292123283333851  1.15919 -33.00000   4.1654228 -21.9219999    8.7200811   0.0077784   0.000000      -0.000000    
 2.759072  5.506027  2.346849  7.974957  0.000000  0.000000  0.000  0.000    2.292123476632641  1.15919 -33.00000   4.1449060 -21.9255446    8.7222282   0.0077592   0.000000      -0.000000    
 2.747120  5.503629  2.341673  7.976625  0.000000  0.000000  0.000  0.000    2.292123708591076  1.15919 -33.00000   4.1214959 -21.8578444    8.7245904   0.0077381   0.000000      -0.000000    
 2.734951  5.501230  2.335932  7.978440  0.000000  0.000000  0.000  0.000    2.292123986941034  1.15919 -33.00000   4.0945877 -21.7658027    8.7271625   0.0077153   0.000000      -0.000000    
 2.722322  5.498787  2.329724  7.980530  0.000000  0.000000  0.000  0.000    2.292124318639956  1.15919 -33.00000   4.0643918 -21.7583849    8.7300192   0.0076899   0.000000      -0.000000    
 2.710247  5.496465  2.323724  7.982520  0.000000  0.000000  0.000  0.000    2.292124667828686  1.15919 -33.00000   4.0341267 -21.7065368    8.7328065   0.0076653   0.000000      -0.000000    
 2.698516  5.494225  2.318002  7.984529  0.000000  0.000000  0.000  0.000    2.292125032997289  1.15919 -33.00000   4.0042551 -21.6573799    8.7355786   0.0076409   0.000000      -0.000000    
 2.686796  5.491980  2.312451  7.986439  0.000000  0.000000  0.000  0.000    2.292125416860798  1.15919 -33.00000   3.9743191 -21.5947934    8.7383172   0.0076168   0.000000      -0.000000    
 2.675084  5.489740  2.307136  7.988374  0.000000  0.000000  0.000  0.000    2.292125818421455  1.15919 -33.00000   3.9447256 -21.5920381    8.7410672   0.0075927   0.000000      -0.000000    
 2.663121  5.487429  2.301948  7.990192  0.000000  0.000000  0.000  0.000    2.292126240625288  1.15919 -33.00000   3.9149745 -21.5721371    8.7437898   0.0075690   0.000000      -0.000000    
 2.651015  5.485087  2.296960  7.992018  0.000000  0.000000  0.000  0.000    2.292126681900475  1.15919 -33.00000   3.8855232 -21.5065751    8.7465246   0.0075452   0.000000      -0.000000    
 2.638582  5.482658  2.292084  7.993741  0.000000  0.000000  0.000  0.000    2.292127145397737  1.15919 -33.00000   3.8559439 -21.4917486    8.7492413   0.0075216   0.000000      -0.000000    
 2.625934  5.480180  2.287389  7.995490  0.000000  0.000000  0.000  0.000    2.292127629897884  1.15919 -33.00000   3.8266633 -21.4803112    8.7519788   0.0074980   0.000000      -0.000000    
 2.612901  5.477603  2.282785  7.997142  0.000000  0.000000  0.000  0.000    2.292128138817349  1.15919 -33.00000   3.7972359 -21.4267278    8.7547029   0.0074745   0.000000      -0.000000    
 2.599621  5.474969  2.278343  7.998824  0.000000  0.000000  0.000  0.000    2.292128670688126  1.15919 -33.00000   3.7680899 -21.4053179    8.7574491   0.0074509   0.000000      -0.000000    
